"time","T_S","V_l","p_S","qm_S"
0,163.17971990232422,67,1,0
10.8,99.62509393770574,67.00067385121889,1.0005369727020388,0.01201288734484893
21.6,99.66959142928056,67.0026953098501,1.002149208539238,0.02410316200988342
32.4,99.74442508218215,67.00606420834532,1.0048405988178732,0.036348523114886865
43.2,99.84933024585985,67.0107802201608,1.0086180225819747,0.048827330167869575
54,99.98424604038019,67.01684286130656,1.0134912224310542,0.06161894669172648
64.8,100.14913523230166,67.02425148586391,1.0194724938536934,0.07480403911493186
75.6,100.34396711927889,67.03300525028672,1.0265769815820078,0.08846493290577728
86.4,100.56869818792359,67.04310310655578,1.034822236090113,0.10268586932930168
97.2,100.82325075573658,67.05454384421157,1.0442275310766396,0.11755314671255412
108,101.10756998927843,67.06732589255401,1.054816031999701,0.13315584767992822
118.8,101.42164358255604,67.08144713342274,1.066615650104788,0.14958653162766403
129.6,101.76538858575498,67.0969053028281,1.0796548922767908,0.1669406089757157
140.4,102.13875410263267,67.11369754760413,1.093966777431459,0.1853176345586152
151.2,102.54171651473541,67.13182019709507,1.1095888124674333,0.20482184098905754
162,102.97419149682912,67.15126929361595,1.1265596960258737,0.22556149056931457
172.8,103.43608684986418,67.17204016772402,1.1449214035733344,0.24764981897216046
183.6,103.92730418951567,67.19412730234656,1.164719352848807,0.2712054959623132
194.4,104.4477407949488,67.21752430663841,1.186002587980045,0.29635311800737946
205.2,104.99729212668376,67.2422237613285,1.2088240057561912,0.3232237466248231
216,105.57585365847558,67.26821705574291,1.2332405713250763,0.35195547423603657
226.8,106.1833092067377,67.29549436925548,1.259312967300347,0.3826937355193748
237.6,106.81953349994285,67.32404456472834,1.287105826696201,0.41559187649559415
248.4,107.48438781088885,67.3538548847853,1.3166876703841743,0.4508115940520643
259.2,108.17772433691357,67.38491098872146,1.3481312267853425,0.4885235866283572
270,108.89938413613345,67.41719669438186,1.381513476161989,0.5289080856971933
280.8,109.64920243475558,67.45069377756946,1.4169160384343185,0.5721556079830147
291.6,110.42700295301006,67.48538181281675,1.4544250607519098,0.6184674393672375
302.4,111.23259957087328,67.52123798092121,1.4941314395619392,0.668056327385623
313.2,112.06579146323247,67.55823686613425,1.536130721978905,0.7211469824973179
324,112.92636536011798,67.59635023370545,1.5805233453604222,0.7779768086595039
334.8,113.81409430197641,67.6355468109022,1.627414703229519,0.8387965392027621
345.6,114.72873921519204,67.67579201256748,1.6769153533945296,0.9038709914069988
356.4,115.67004737163836,67.71704768024316,1.7291410596486294,0.9734797192417142
367.2,116.6377516465202,67.7592718281775,1.7842128618883237,1.0479176953008722
378,117.63156889978723,67.80241834431712,1.842257080784229,1.1274959478587523
388.8,118.65119880703276,67.84643669790914,1.903405325358817,1.2125422011100178
393.54204672544006,119.1069705331945,67.86602563500495,1.9312698570743272,1.2516997088210196
393.54204672544006,119.1069705331945,67.86602563500495,1.9312698570743272,1.2516997088210196
399.6,119.6963424280176,67.89127113706166,1.9677957093399598,1.3034025898938844
410.4,120.7667193698569,67.93685973565773,2.0355741573068795,1.400443631463874
421.2,121.86186494249762,67.9831397122398,2.1068813770362804,1.5040409689059582
432,122.98137442094526,68.03004082520187,2.1818679088835253,1.614593192528184
442.8,124.12492232467616,68.07748391216631,2.2606961359399653,1.732524997764926
453.6,125.29212608012256,68.12538354563026,2.3435313989228117,1.8582796501141943
464.4,126.48253450913626,68.17364849225709,2.4305406984144566,1.9923180007637193
475.2,127.69568376169354,68.2221806672521,2.5218963177208136,2.1351225115131793
486,128.93109102765038,68.27087390899565,2.617775231901957,2.287197250454114
496.8,130.1882566034143,68.31961404554251,2.7183590761015513,2.4490684200161126
507.6,131.46665211454513,68.36827773933362,2.8238329472265087,2.621283564471502
518.4,132.765726874993,68.41673290207221,2.934385548411509,2.804412151770058
529.2,134.08489973365795,68.46483751291939,3.0502080858683205,2.9990447089811454
540,135.42356583370747,68.51243987008988,3.1714943469878545,3.2057932163854255
550.8,136.78108988637882,68.55937745674026,3.2984395500624886,3.4252900092764857
561.6,138.15681142818005,68.60547706800251,3.4312401856298993,3.6581877516661145
572.4,139.55003892472928,68.65055378108326,3.570092755387843,3.9051579848533367
583.2,140.96005392747827,68.69441100525805,3.715193377964476,4.166890617841961
594,142.3861063447739,68.73683956690772,3.8667364401988893,4.444092101062534
604.8,143.82741786064162,68.77761769446103,4.0249139812054135,4.737484390740074
615.6,145.28317835182918,68.8165102203712,4.189914258887066,5.047802706157507
626.4,146.75254812953403,68.85326852043643,4.361920846100078,5.375793817771307
